no,exp_id,condition,item_type,item_id,stimulus,target_word
165,1b_2a,a,18,1b_2a-18,The lawyer considered who the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,firm
166,1b_2a,b,18,1b_2a-18,The lawyer considered how the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,firm
167,1b_2a,c,18,1b_2a-18,The lawyer considered that the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,firm
168,1b_2a,d,18,1b_2a-18,The lawyer considered why the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,firm
169,1b_2a,a,19,1b_2a-19,The dean heard who the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,professor
170,1b_2a,b,19,1b_2a-19,The dean heard how the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,professor
171,1b_2a,c,19,1b_2a-19,The dean heard that the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,professor
172,1b_2a,d,19,1b_2a-19,The dean heard why the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,professor
173,1b_2a,a,20,1b_2a-20,The barista heard who the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,manager
174,1b_2a,b,20,1b_2a-20,The barista heard how the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,manager
175,1b_2a,c,20,1b_2a-20,The barista heard that the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,manager
176,1b_2a,d,20,1b_2a-20,The barista heard why the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,manager
177,1b_2a,a,21,1b_2a-21,The couple heard who the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,singer
178,1b_2a,b,21,1b_2a-21,The couple heard how the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,singer
179,1b_2a,c,21,1b_2a-21,The couple heard that the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,singer
180,1b_2a,d,21,1b_2a-21,The couple heard why the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,singer
181,1b_2a,a,22,1b_2a-22,The analyst confessed who the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,employer
182,1b_2a,b,22,1b_2a-22,The analyst confessed how the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,employer
183,1b_2a,c,22,1b_2a-22,The analyst confessed that the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,employer
184,1b_2a,d,22,1b_2a-22,The analyst confessed why the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,employer
185,1b_2a,a,23,1b_2a-23,The researcher confessed who the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,university
186,1b_2a,b,23,1b_2a-23,The researcher confessed how the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,university
187,1b_2a,c,23,1b_2a-23,The researcher confessed that the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,university
188,1b_2a,d,23,1b_2a-23,The researcher confessed why the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,university
189,1b_2a,a,24,1b_2a-24,The traveler confessed who the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,hiker
190,1b_2a,b,24,1b_2a-24,The traveler confessed how the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,hiker
191,1b_2a,c,24,1b_2a-24,The traveler confessed that the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,hiker
192,1b_2a,d,24,1b_2a-24,The traveler confessed why the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,hiker
